bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN,pixval0-0,pixval0-1,pixval0-2,pixval0-3,pixval0-4,pixval0-5,pixval0-6,pixval0-7,pixval0-8,pixval1-0,pixval1-1,pixval1-2,pixval1-3,pixval1-4,pixval1-5,pixval1-6,pixval1-7,pixval1-8,pixval2-0,pixval2-1,pixval2-2,pixval2-3,pixval2-4,pixval2-5,pixval2-6,pixval2-7,pixval2-8,pixval3-0,pixval3-1,pixval3-2,pixval3-3,pixval3-4,pixval3-5,pixval3-6,pixval3-7,pixval3-8,pixval4-0,pixval4-1,pixval4-2,pixval4-3,pixval4-4,pixval4-5,pixval4-6,pixval4-7,pixval4-8,pixval5-0,pixval5-1,pixval5-2,pixval5-3,pixval5-4,pixval5-5,pixval5-6,pixval5-7,pixval5-8,pixval6-0,pixval6-1,pixval6-2,pixval6-3,pixval6-4,pixval6-5,pixval6-6,pixval6-7,pixval6-8,pixval7-0,pixval7-1,pixval7-2,pixval7-3,pixval7-4,pixval7-5,pixval7-6,pixval7-7,pixval7-8,pixval8-0,pixval8-1,pixval8-2,pixval8-3,pixval8-4,pixval8-5,pixval8-6,pixval8-7,pixval8-8
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",0,15.1901,15.0492,0.0470344,0.000216849,0.0488179,0.000228462,0.0501490,0.000240163,0.0508161,0.000251756,0.0510999,0.000263761,56404.51389040000,0.00160086,0.00139796,4.31552,2.04842,1.99039,8540.56,0.413417,0.0171175,0.979674,2.58741,1.60393,3.74921,1.84251,0.887021,0.0949981,1.66104,2.35820,2.04644,1.38049,2.11370,1.44981,1.20941,2.88491,0.993464,1.63664,1.51010,1.47276,1.03009,10.7897,6.73691,2.65297,1.87853,1.24852,2.94055,1.41224,6.30603,23.3109,57.7217,59.8138,7.27044,1.91833,3.03753,1.89550,3.12296,28.3176,95.9397,700.955,83.0257,14.7519,2.00800,2.33965,2.89243,2.59184,13.2115,51.5068,126.003,93.3757,9.74905,1.79462,1.76087,1.36064,1.02649,1.24843,10.5515,43.7008,32.8062,5.84106,1.02987,1.39246,0.691479,1.92771,1.16614,1.54503,3.14532,5.52388,1.81067,2.11311,1.11811,-0.143654,0.855962,1.15419,1.61517,1.80324,2.37981,2.00184,1.78150,0.493695
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",1,15.1713,15.0468,0.0479831,0.000216839,0.0497240,0.000227941,0.0510660,0.000239187,0.0517262,0.000250265,0.0520054,0.000261726,56404.51391317922,0.00171668,0.00135576,4.18834,2.03248,1.95893,8795.56,0.0960313,0.335282,1.22029,2.58683,1.76226,4.14577,2.07984,1.04453,0.330878,0.931774,2.04307,2.53527,1.52801,3.05577,1.28694,1.50994,3.89874,0.438040,1.40816,1.83376,1.78822,1.59158,11.1054,6.26013,3.20385,2.19695,1.41030,3.32784,1.56973,6.14988,25.0737,59.8897,63.1631,8.22917,2.23875,3.19846,2.20900,3.12260,30.6888,95.9281,723.889,80.9945,12.8450,1.37039,2.33940,2.01736,2.18720,11.7040,55.0430,122.248,96.1746,10.2962,0.912595,1.90837,1.44622,0.633823,1.09484,10.7143,43.3797,29.2534,6.55661,1.43412,1.62985,1.15162,2.08282,1.24529,1.23269,2.83230,5.84002,1.81103,2.27026,1.27884,0.330849,0.855540,1.85237,1.61464,1.46233,2.46061,1.41987,1.46053,-0.0654750
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",2,15.1720,15.0313,0.0476127,0.000216447,0.0493283,0.000227590,0.0506360,0.000238871,0.0512509,0.000249975,0.0515107,0.000261507,56404.51393595845,0.00175682,0.00136173,4.15720,2.03231,1.95616,8764.56,0.469590,0.631014,1.59848,2.48371,1.81895,3.09077,1.18431,0.942910,0.229744,0.871021,2.52378,2.05929,1.62595,2.60098,0.996829,2.06902,3.68292,1.16228,1.56964,1.59957,1.48257,1.27882,11.3419,6.74671,2.58409,1.96660,1.96082,3.86581,3.20506,5.98919,24.1085,60.7717,60.5228,6.55040,2.47521,3.19623,1.48138,2.62237,31.1404,96.6346,721.597,79.0295,11.7447,1.82589,2.79741,4.08695,2.20693,11.6453,54.9800,122.266,91.7560,9.52167,1.17115,2.31693,1.45139,0.719573,1.26005,10.0842,45.1291,29.4154,4.98240,1.04084,1.08943,1.53046,2.08060,1.63153,1.30944,3.29691,5.60165,1.33893,1.87783,1.11737,0.0712566,0.757746,1.59600,1.90083,1.67992,2.75708,1.64723,2.07914,0.469933
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",3,15.1689,15.0367,0.0480238,0.000219498,0.0497833,0.000231227,0.0511298,0.000243136,0.0517778,0.000254919,0.0520378,0.000267138,56404.51395873767,0.00176295,0.00142479,4.21006,2.05319,1.94327,8765.56,-0.166611,0.231144,1.43635,2.88383,1.42051,3.16855,1.97610,0.782909,0.542581,1.03167,2.67725,2.72207,1.00213,3.07592,1.53934,1.06733,4.15450,0.849244,1.09135,2.30587,1.55119,1.74468,12.3420,7.69924,2.57598,2.19187,1.63911,3.87709,0.408427,5.76477,25.5623,64.4070,62.6911,6.40212,2.24745,3.12784,2.18439,2.93883,32.3263,99.3985,721.681,77.6508,11.4114,2.22220,2.87566,2.74684,1.41258,11.8028,53.5277,124.371,92.8056,8.32923,1.88413,1.54013,1.20090,0.945413,1.32663,11.1851,46.4698,29.8010,4.81549,1.34827,1.15847,0.701256,2.32194,0.478318,1.08495,3.22630,6.64661,1.42861,2.90286,0.970211,0.227465,0.449308,2.37219,1.51005,1.28206,2.51939,2.47945,1.83646,-0.0105344
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",4,15.1667,15.0362,0.0479087,0.000215097,0.0496828,0.000225878,0.0510624,0.000236767,0.0517236,0.000247386,0.0519850,0.000258323,56404.51398151690,0.00176615,0.00131126,4.16330,2.03440,1.97126,8838.56,0.627404,0.549716,1.27607,2.80378,1.34119,3.88370,1.97625,0.941746,0.306955,1.09093,1.96592,1.87165,1.52831,2.26336,2.06170,1.12411,3.89797,0.985149,1.27625,1.69837,1.65614,1.37618,12.2147,7.24676,2.13467,2.76811,1.51121,3.67607,1.96118,7.80343,25.7949,62.5473,62.4429,7.91067,2.47810,3.27922,2.73268,2.77989,30.5843,97.6068,727.960,75.6308,12.6537,1.42612,1.51448,3.82960,2.26619,13.7523,54.3944,118.434,94.9593,7.67240,1.94290,2.76123,1.55002,1.05639,1.04164,11.4523,43.6403,30.6180,4.92167,1.77571,1.72987,1.30470,2.00700,0.623724,1.38897,3.06483,5.36353,1.65499,2.81699,1.67741,0.306089,0.756035,1.51719,1.82149,2.06739,2.75967,1.89491,1.35579,0.390702
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",5,15.1780,15.0336,0.0476767,0.000211079,0.0494683,0.000221048,0.0508305,0.000230977,0.0514946,0.000240564,0.0517587,0.000250373,56404.51400429612,0.00168717,0.00120702,4.18954,2.04772,1.95716,8746.56,0.271738,-0.0454426,0.996837,2.60457,1.38260,3.36849,1.62124,1.14104,0.583725,0.243793,2.46115,2.48925,1.79627,2.14058,0.855979,1.54391,3.93326,0.785686,1.46281,2.12795,1.22239,1.64600,12.5567,7.03807,2.32222,2.17441,1.46475,3.60866,0.839640,7.22302,24.5623,59.9392,61.6144,7.40198,2.28931,3.48864,2.14702,2.98029,30.1504,99.6042,720.089,76.2381,12.6140,1.78594,2.43689,3.55018,2.06305,12.9996,54.1889,122.604,91.9331,9.53609,0.947668,1.71010,1.66244,1.16585,1.38786,10.3731,46.2940,29.7814,5.26977,1.56996,0.986807,0.742093,1.90181,1.68199,1.67329,3.27179,5.97170,2.01983,2.63197,1.64739,0.664201,0.872434,1.63636,1.31818,1.64173,2.72043,2.60468,1.23679,0.510329
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",6,15.1779,15.0279,0.0478932,0.000216382,0.0496822,0.000227495,0.0510482,0.000238701,0.0517010,0.000249682,0.0519597,0.000261022,56404.51402707535,0.00181871,0.00134737,4.17766,2.04362,1.94877,8799.56,0.354333,0.992885,1.24138,2.92940,1.46591,3.37224,1.54508,0.590973,0.194260,0.466095,2.13642,2.80161,1.54518,2.59729,0.993381,1.29501,4.15092,0.689406,1.28743,1.47076,1.35691,1.54573,12.9244,6.61577,2.84771,2.30938,1.75625,3.64353,1.03023,7.65165,24.9989,60.6187,60.7708,6.79908,2.16588,3.44493,1.99404,2.82472,32.0544,97.0845,724.571,75.6775,12.2036,1.39157,1.39923,3.53146,2.20383,12.8240,53.7658,128.339,91.9949,9.35902,1.24696,2.00214,1.64154,1.22724,1.52539,11.2257,45.3182,29.6032,5.13031,1.62750,1.27486,1.23416,2.62763,0.940251,1.86401,3.53989,5.68981,1.66242,1.88747,0.967590,0.0351419,1.10603,2.18296,1.78844,1.40332,1.69567,1.77579,1.48143,0.754839
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",7,15.1845,15.0287,0.0478007,0.000219755,0.0495920,0.000231702,0.0509454,0.000243802,0.0516046,0.000255798,0.0518939,0.000268271,56404.51404985457,0.00173621,0.00144043,4.23775,2.03951,1.97776,8722.56,0.188011,-0.528188,1.31369,2.59967,0.981532,3.44402,2.41014,0.424648,0.579475,0.916113,2.02965,2.18888,1.90376,1.61653,1.35053,1.49607,3.80583,0.345773,1.55007,2.29531,1.85099,2.05178,11.0893,6.88723,2.72082,2.18207,1.55182,3.65224,1.66339,6.08627,23.8860,60.4671,60.4616,6.64875,1.77735,2.89597,1.90829,3.37473,33.0756,98.1351,718.022,78.4960,12.9405,1.54291,2.11216,3.42191,2.96547,13.6598,53.4109,126.442,94.8641,8.13615,1.69124,2.28239,1.75117,1.25450,1.70786,11.8102,44.7938,30.1056,5.20100,1.49822,1.45985,1.24305,1.71457,1.10589,1.09359,3.00344,7.53300,1.43566,2.59812,1.45465,0.422986,0.867950,1.47313,1.70228,1.79790,2.79279,2.18378,1.47360,0.586934
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",8,15.1843,15.0298,0.0477411,0.000211518,0.0495412,0.000221578,0.0508968,0.000231586,0.0515660,0.000241282,0.0518464,0.000251228,56404.51407263379,0.00158296,0.00121631,4.14623,2.01602,1.94772,8782.56,0.170702,-0.306638,1.13537,3.38536,1.67836,3.50565,2.07515,0.723615,0.404935,0.747291,1.63688,1.84849,1.42757,2.24120,0.489314,1.64184,3.64013,1.35472,1.97536,1.69829,1.03449,2.08791,11.2812,7.00469,2.44519,1.82730,2.05604,3.41017,0.950734,6.78414,24.1151,59.8115,61.4876,6.63759,2.00470,3.76192,1.65581,2.71958,31.7121,99.3357,723.242,77.7544,12.5081,2.56091,1.69418,2.86163,2.48148,13.8091,53.7260,122.303,89.8579,9.08089,1.44525,1.49814,2.02876,1.13461,1.12049,11.6091,45.9403,28.6430,5.39385,0.819283,0.952064,0.927378,2.77899,1.24966,1.47266,3.14934,6.56405,1.73923,2.50925,0.806408,0.0102989,1.08144,1.45788,1.52952,2.09180,2.22165,2.33270,1.45477,0.649389
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",9,15.1765,15.0313,0.0472671,0.000215949,0.0490392,0.000227227,0.0504023,0.000238631,0.0510707,0.000249849,0.0513558,0.000261450,56404.51409541302,0.00178310,0.00136374,4.23329,2.04697,1.98512,8655.56,0.797073,1.19783,1.12687,3.29640,1.82847,4.13255,1.98741,0.794378,0.239562,0.938161,3.04900,1.54878,0.990287,2.82568,1.13939,1.36313,4.45642,0.993315,0.944076,1.83620,1.40326,1.19803,12.4268,7.22518,2.27027,2.59133,1.33467,3.17600,1.49446,6.78112,24.4331,60.0501,60.4467,6.55516,2.16119,3.08150,2.27385,3.02970,32.2584,99.4914,712.161,74.5921,12.4168,1.99447,1.92575,3.28585,3.06634,12.9729,52.6265,125.816,90.7762,8.47591,1.94948,1.95460,1.52906,0.955889,1.25746,11.4312,43.9385,30.3615,6.24310,1.59586,1.47752,0.619518,1.70128,0.781546,0.845498,3.69222,6.56252,1.42211,1.96089,0.645302,0.397282,1.14978,1.91585,1.28918,1.46128,2.65269,1.57312,1.64749,0.561433
